order_id,order_date,customer_id,total_amount,order_status,timestamp
25001,2025-02-20,16323,2902.44,SHIPPED,2025-02-20T14:14:30.771-07:00
25002,2025-02-20,15046,4291.8,CANCELLED,2025-02-20T14:14:30.771-07:00
25003,2025-02-20,6088,800.19,PENDING,2025-02-20T14:14:30.771-07:00
25004,2025-02-20,14427,4859.94,DELIVERED,2025-02-20T14:14:30.771-07:00
25005,2025-02-20,23628,2044.56,SHIPPED,2025-02-20T14:14:30.771-07:00
25006,2025-02-20,28763,1361.23,DELIVERED,2025-02-20T14:14:30.771-07:00
25007,2025-02-20,18142,4390.83,CANCELLED,2025-02-20T14:14:30.771-07:00
25008,2025-02-20,14026,2019.91,DELIVERED,2025-02-20T14:14:30.771-07:00
25009,2025-02-20,25108,3789.05,PENDING,2025-02-20T14:14:30.771-07:00
25010,2025-02-20,3079,102.81,DELIVERED,2025-02-20T14:14:30.771-07:00
25011,2025-02-20,28881,2297.94,DELIVERED,2025-02-20T14:14:30.771-07:00
25012,2025-02-20,3368,3383.33,SHIPPED,2025-02-20T14:14:30.771-07:00
25013,2025-02-20,25170,4142.28,PENDING,2025-02-20T14:14:30.771-07:00
25014,2025-02-20,24828,437.65,SHIPPED,2025-02-20T14:14:30.771-07:00
25015,2025-02-20,25038,1716.14,PENDING,2025-02-20T14:14:30.771-07:00
25016,2025-02-20,21522,166.67,PENDING,2025-02-20T14:14:30.771-07:00
25017,2025-02-20,27015,838.81,PENDING,2025-02-20T14:14:30.771-07:00
25018,2025-02-20,10773,721.19,PENDING,2025-02-20T14:14:30.771-07:00
25019,2025-02-20,17277,2440.5,DELIVERED,2025-02-20T14:14:30.771-07:00
25020,2025-02-20,26831,2563.86,DELIVERED,2025-02-20T14:14:30.771-07:00
25021,2025-02-20,22258,4502.63,CANCELLED,2025-02-20T14:14:30.771-07:00
25022,2025-02-20,10104,4253.02,DELIVERED,2025-02-20T14:14:30.771-07:00
25023,2025-02-20,16164,4365.4,PENDING,2025-02-20T14:14:30.771-07:00
25024,2025-02-20,29833,2255.5,CANCELLED,2025-02-20T14:14:30.771-07:00
25025,2025-02-20,16793,1060.86,CANCELLED,2025-02-20T14:14:30.771-07:00
25026,2025-02-20,19630,4146.45,DELIVERED,2025-02-20T14:14:30.771-07:00
25027,2025-02-20,20817,4948.86,CANCELLED,2025-02-20T14:14:30.771-07:00
25028,2025-02-20,15591,3253.55,DELIVERED,2025-02-20T14:14:30.771-07:00
25029,2025-02-20,4409,2106.15,CANCELLED,2025-02-20T14:14:30.771-07:00
25030,2025-02-20,3547,2603.96,CANCELLED,2025-02-20T14:14:30.771-07:00
25031,2025-02-20,21466,664.23,SHIPPED,2025-02-20T14:14:30.771-07:00
25032,2025-02-20,28270,2514.61,SHIPPED,2025-02-20T14:14:30.771-07:00
25033,2025-02-20,15044,3098.0,PENDING,2025-02-20T14:14:30.771-07:00
25034,2025-02-20,12727,2215.59,SHIPPED,2025-02-20T14:14:30.771-07:00
25035,2025-02-20,2700,3765.24,PENDING,2025-02-20T14:14:30.771-07:00
25036,2025-02-20,27850,4002.22,SHIPPED,2025-02-20T14:14:30.771-07:00
25037,2025-02-20,21284,3445.59,PENDING,2025-02-20T14:14:30.771-07:00
25038,2025-02-20,4082,551.39,CANCELLED,2025-02-20T14:14:30.771-07:00
25039,2025-02-20,7841,768.98,DELIVERED,2025-02-20T14:14:30.771-07:00
25040,2025-02-20,7351,2018.11,DELIVERED,2025-02-20T14:14:30.771-07:00
25041,2025-02-20,25929,1598.5,CANCELLED,2025-02-20T14:14:30.771-07:00
25042,2025-02-20,24428,2699.42,CANCELLED,2025-02-20T14:14:30.771-07:00
25043,2025-02-20,14978,4612.64,DELIVERED,2025-02-20T14:14:30.771-07:00
25044,2025-02-20,16437,1742.53,PENDING,2025-02-20T14:14:30.771-07:00
25045,2025-02-20,16012,406.1,PENDING,2025-02-20T14:14:30.771-07:00
25046,2025-02-20,17469,2024.14,SHIPPED,2025-02-20T14:14:30.771-07:00
25047,2025-02-20,24789,27.9,CANCELLED,2025-02-20T14:14:30.771-07:00
25048,2025-02-20,3622,3324.75,CANCELLED,2025-02-20T14:14:30.771-07:00
25049,2025-02-20,7744,4647.94,CANCELLED,2025-02-20T14:14:30.771-07:00
25050,2025-02-20,17173,4511.44,SHIPPED,2025-02-20T14:14:30.771-07:00
25051,2025-02-20,9168,2859.92,CANCELLED,2025-02-20T14:14:30.771-07:00
25052,2025-02-20,15424,1056.3,SHIPPED,2025-02-20T14:14:30.771-07:00
25053,2025-02-20,23140,4497.47,PENDING,2025-02-20T14:14:30.771-07:00
25054,2025-02-20,27350,860.0,SHIPPED,2025-02-20T14:14:30.771-07:00
25055,2025-02-20,8315,2947.99,CANCELLED,2025-02-20T14:14:30.771-07:00
