order_item_id,order_id,product_id,quantity,unit_price,timestamp
25001,23806,3532,7,224.71,2025-02-20T14:14:29.818-07:00
25002,5623,124,3,179.26,2025-02-20T14:14:29.818-07:00
25003,2968,18297,3,491.29,2025-02-20T14:14:29.818-07:00
25004,29378,6189,5,110.24,2025-02-20T14:14:29.818-07:00
25005,20220,27815,6,424.56,2025-02-20T14:14:29.818-07:00
25006,25192,13753,10,9.24,2025-02-20T14:14:29.818-07:00
25007,6779,29958,7,435.42,2025-02-20T14:14:29.818-07:00
25008,12662,9405,6,486.05,2025-02-20T14:14:29.818-07:00
25009,17693,11594,4,367.46,2025-02-20T14:14:29.818-07:00
25010,3223,7834,3,33.63,2025-02-20T14:14:29.818-07:00
25011,11130,1768,6,117.16,2025-02-20T14:14:29.818-07:00
25012,17059,27789,7,281.13,2025-02-20T14:14:29.818-07:00
25013,4021,778,8,120.31,2025-02-20T14:14:29.818-07:00
25014,19561,27423,2,455.98,2025-02-20T14:14:29.818-07:00
25015,9034,12512,9,41.81,2025-02-20T14:14:29.818-07:00
25016,2934,25503,6,136.17,2025-02-20T14:14:29.818-07:00
25017,14022,12905,5,242.23,2025-02-20T14:14:29.818-07:00
25018,5053,5628,10,14.47,2025-02-20T14:14:29.818-07:00
25019,17636,12727,6,262.24,2025-02-20T14:14:29.818-07:00
25020,12689,15129,10,380.14,2025-02-20T14:14:29.818-07:00
25021,26500,20272,10,347.81,2025-02-20T14:14:29.818-07:00
25022,5339,25828,5,314.13,2025-02-20T14:14:29.818-07:00
25023,29512,15635,4,83.94,2025-02-20T14:14:29.818-07:00
25024,7737,28156,2,376.66,2025-02-20T14:14:29.818-07:00
25025,6966,29377,2,61.43,2025-02-20T14:14:29.818-07:00
25026,11421,4691,5,142.23,2025-02-20T14:14:29.818-07:00
25027,3584,1626,10,265.93,2025-02-20T14:14:29.818-07:00
25028,4470,2871,9,97.35,2025-02-20T14:14:29.818-07:00
25029,16249,25014,5,401.64,2025-02-20T14:14:29.818-07:00
25030,13524,22861,3,104.65,2025-02-20T14:14:29.818-07:00
25031,29898,2629,6,302.15,2025-02-20T14:14:29.818-07:00
25032,1930,24559,4,447.03,2025-02-20T14:14:29.818-07:00
25033,5821,6184,4,222.63,2025-02-20T14:14:29.818-07:00
25034,17710,4647,2,410.69,2025-02-20T14:14:29.818-07:00
25035,19539,4657,7,490.12,2025-02-20T14:14:29.818-07:00
25036,12383,21410,7,389.86,2025-02-20T14:14:29.818-07:00
25037,7648,20941,7,481.05,2025-02-20T14:14:29.818-07:00
25038,21611,7898,5,374.67,2025-02-20T14:14:29.818-07:00
25039,3237,19645,7,213.92,2025-02-20T14:14:29.818-07:00
25040,11565,24816,10,458.94,2025-02-20T14:14:29.818-07:00
25041,20461,6302,9,408.55,2025-02-20T14:14:29.818-07:00
25042,8643,5219,5,317.64,2025-02-20T14:14:29.818-07:00
25043,2014,15840,1,350.0,2025-02-20T14:14:29.818-07:00
25044,10670,3628,4,120.82,2025-02-20T14:14:29.818-07:00
25045,8904,18740,9,348.87,2025-02-20T14:14:29.818-07:00
25046,7918,19147,3,93.97,2025-02-20T14:14:29.818-07:00
25047,17418,6003,3,416.08,2025-02-20T14:14:29.818-07:00
25048,17788,14518,5,192.59,2025-02-20T14:14:29.818-07:00
25049,13763,13433,2,160.72,2025-02-20T14:14:29.818-07:00
25050,26678,10367,2,134.93,2025-02-20T14:14:29.818-07:00
25051,16919,23417,6,238.03,2025-02-20T14:14:29.818-07:00
25052,4698,5052,7,342.09,2025-02-20T14:14:29.818-07:00
