order_id,order_date,customer_id,total_amount,order_status,timestamp,source_system
30001,2025-02-26,24535,3094.59,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30002,2025-02-26,3792,532.35,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30003,2025-02-26,19176,433.76,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30004,2025-02-26,11529,2619.66,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30005,2025-02-26,11519,681.58,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30006,2025-02-26,9747,3333.25,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30007,2025-02-26,33918,4968.29,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30008,2025-02-26,24959,2040.0,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30009,2025-02-26,3399,1423.98,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30010,2025-02-26,17365,492.03,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30011,2025-02-26,6255,2634.0,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30012,2025-02-26,33197,4786.35,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30013,2025-02-26,6570,2032.6,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30014,2025-02-26,27650,93.74,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30015,2025-02-26,10930,1968.2,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30016,2025-02-26,17496,642.92,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30017,2025-02-26,4415,1960.09,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30018,2025-02-26,28990,1358.73,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30019,2025-02-26,11128,239.8,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30020,2025-02-26,27584,3205.47,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30021,2025-02-26,8400,4102.42,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30022,2025-02-26,4628,1572.94,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30023,2025-02-26,34212,3155.52,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30024,2025-02-26,12952,2611.72,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30025,2025-02-26,4701,2738.51,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30026,2025-02-26,4473,4489.89,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30027,2025-02-26,439,2522.25,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30028,2025-02-26,15005,2873.14,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30029,2025-02-26,3344,1400.08,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30030,2025-02-26,31577,3903.45,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30031,2025-02-26,10322,1040.23,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30032,2025-02-26,21523,4130.56,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30033,2025-02-26,13289,3421.37,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30034,2025-02-26,4768,4105.22,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30035,2025-02-26,3780,3046.49,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30036,2025-02-26,5921,4528.8,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30037,2025-02-26,22677,4471.95,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30038,2025-02-26,23662,2781.97,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30039,2025-02-26,25888,3400.76,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30040,2025-02-26,7305,659.63,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30041,2025-02-26,34843,2706.28,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30042,2025-02-26,5271,2129.82,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30043,2025-02-26,12244,422.71,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30044,2025-02-26,17436,265.96,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30045,2025-02-26,8043,3.58,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30046,2025-02-26,32584,397.3,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30047,2025-02-26,20806,1881.96,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30048,2025-02-26,916,447.79,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30049,2025-02-26,6331,100.15,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30050,2025-02-26,28024,4192.08,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30051,2025-02-26,8866,477.58,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30052,2025-02-26,2324,929.54,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30053,2025-02-26,30355,1720.92,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30054,2025-02-26,12647,1099.51,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30055,2025-02-26,5554,2499.02,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30056,2025-02-26,12018,745.1,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30057,2025-02-26,9641,4172.24,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30058,2025-02-26,6817,1302.37,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30059,2025-02-26,5901,1336.84,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30060,2025-02-26,25310,8.2,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30061,2025-02-26,26275,3766.53,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30062,2025-02-26,4908,3228.32,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30063,2025-02-26,10583,999.64,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30064,2025-02-26,31911,76.97,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30065,2025-02-26,15626,373.7,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30066,2025-02-26,31302,966.8,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30067,2025-02-26,6424,4447.77,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30068,2025-02-26,26710,1467.94,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30069,2025-02-26,11829,3549.13,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30070,2025-02-26,571,2120.9,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30071,2025-02-26,20003,3712.82,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30072,2025-02-26,13793,764.62,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30073,2025-02-26,571,1966.96,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30074,2025-02-26,1714,4133.33,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30075,2025-02-26,25624,4602.02,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30076,2025-02-26,30063,307.96,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30077,2025-02-26,30744,468.49,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30078,2025-02-26,9899,771.31,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30079,2025-02-26,18822,4946.25,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30080,2025-02-26,28878,1087.84,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30081,2025-02-26,7209,3849.78,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30082,2025-02-26,16351,84.55,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30083,2025-02-26,32057,4705.53,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30084,2025-02-26,234,1991.14,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30085,2025-02-26,19351,183.8,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30086,2025-02-26,18224,310.74,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30087,2025-02-26,33035,1791.04,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30088,2025-02-26,31161,4864.1,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30089,2025-02-26,29624,3464.05,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30090,2025-02-26,24709,1775.41,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30091,2025-02-26,23305,4803.34,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30092,2025-02-26,23517,3359.34,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30093,2025-02-26,23342,284.4,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30094,2025-02-26,21488,3113.63,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30095,2025-02-26,3334,2369.58,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30096,2025-02-26,16762,3667.02,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30097,2025-02-26,22851,3348.41,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30098,2025-02-26,10188,497.36,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30099,2025-02-26,10894,2363.22,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30100,2025-02-26,12395,2012.99,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30101,2025-02-26,20477,1647.76,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30102,2025-02-26,22018,1840.96,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30103,2025-02-26,26395,4636.85,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30104,2025-02-26,3634,3815.8,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30105,2025-02-26,3213,2499.62,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30106,2025-02-26,33849,18.03,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30107,2025-02-26,32688,1701.29,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30108,2025-02-26,15612,3748.11,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30109,2025-02-26,28037,2205.62,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30110,2025-02-26,26342,590.93,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30111,2025-02-26,213,2075.43,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30112,2025-02-26,8339,2904.43,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30113,2025-02-26,25296,3691.43,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30114,2025-02-26,20655,3718.65,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30115,2025-02-26,22905,2959.76,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30116,2025-02-26,24318,299.19,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30117,2025-02-26,8555,2787.93,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30118,2025-02-26,30318,1513.36,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30119,2025-02-26,24349,1097.04,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30120,2025-02-26,21977,1066.65,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30121,2025-02-26,2311,3101.65,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30122,2025-02-26,25082,3879.03,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30123,2025-02-26,28434,146.45,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30124,2025-02-26,33610,1651.65,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30125,2025-02-26,25010,2916.44,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30126,2025-02-26,28277,2982.95,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30127,2025-02-26,1304,2220.88,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30128,2025-02-26,9086,4225.48,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30129,2025-02-26,33412,4519.27,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30130,2025-02-26,16777,626.88,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30131,2025-02-26,11235,1038.45,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30132,2025-02-26,2629,4319.91,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30133,2025-02-26,26154,1488.38,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30134,2025-02-26,21452,3787.71,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30135,2025-02-26,16480,4690.76,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30136,2025-02-26,14806,2787.72,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30137,2025-02-26,4946,466.46,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30138,2025-02-26,8676,2519.18,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30139,2025-02-26,30348,4715.15,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30140,2025-02-26,9854,683.09,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30141,2025-02-26,23071,1058.57,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30142,2025-02-26,33197,3975.04,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30143,2025-02-26,3358,3006.78,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30144,2025-02-26,19525,1463.28,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30145,2025-02-26,7130,1940.72,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30146,2025-02-26,24556,4577.95,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30147,2025-02-26,19123,1754.09,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30148,2025-02-26,18254,2015.64,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30149,2025-02-26,31755,3517.43,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30150,2025-02-26,11112,3676.44,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30151,2025-02-26,3631,4083.08,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30152,2025-02-26,6818,1539.65,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30153,2025-02-26,33198,523.99,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30154,2025-02-26,32690,861.73,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30155,2025-02-26,12573,4886.46,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30156,2025-02-26,15925,4672.71,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30157,2025-02-26,1589,2332.77,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30158,2025-02-26,15540,2614.6,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30159,2025-02-26,22,168.48,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30160,2025-02-26,25178,3135.1,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30161,2025-02-26,28918,3955.58,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30162,2025-02-26,18051,1661.21,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30163,2025-02-26,14321,2536.54,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30164,2025-02-26,26391,4986.46,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30165,2025-02-26,8443,2415.51,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30166,2025-02-26,2233,470.99,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30167,2025-02-26,33775,2550.5,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30168,2025-02-26,32132,351.74,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30169,2025-02-26,17060,1961.53,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30170,2025-02-26,2778,4363.86,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30171,2025-02-26,27396,2914.11,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30172,2025-02-26,23202,3680.43,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30173,2025-02-26,32363,782.51,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30174,2025-02-26,18926,1982.65,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30175,2025-02-26,5012,2104.69,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30176,2025-02-26,5753,448.59,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30177,2025-02-26,14424,4666.06,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30178,2025-02-26,14131,1061.15,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30179,2025-02-26,3951,3363.04,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30180,2025-02-26,21181,1025.77,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30181,2025-02-26,12424,1410.61,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30182,2025-02-26,28243,4974.47,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30183,2025-02-26,18326,2953.81,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30184,2025-02-26,18407,4348.34,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30185,2025-02-26,16469,1515.6,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30186,2025-02-26,1813,1952.55,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30187,2025-02-26,5767,1898.37,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30188,2025-02-26,16768,3455.07,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30189,2025-02-26,29220,3438.29,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30190,2025-02-26,6437,2346.32,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30191,2025-02-26,14339,448.67,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30192,2025-02-26,11233,3929.23,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30193,2025-02-26,25370,2163.39,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30194,2025-02-26,18730,585.1,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30195,2025-02-26,2494,3520.71,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30196,2025-02-26,11629,4167.55,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30197,2025-02-26,22023,3474.36,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30198,2025-02-26,620,948.75,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30199,2025-02-26,25426,1725.3,DELIVERED,2025-02-26T10:18:49.019-07:00,Orders
30200,2025-02-26,34670,1769.52,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30201,2025-02-26,3623,3556.46,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30202,2025-02-26,3639,4731.17,PENDING,2025-02-26T10:18:49.019-07:00,Orders
30203,2025-02-26,10824,3685.63,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
30204,2025-02-26,25063,2403.9,SHIPPED,2025-02-26T10:18:49.019-07:00,Orders
30205,2025-02-26,10546,4717.8,CANCELLED,2025-02-26T10:18:49.019-07:00,Orders
